season,round,race_date,circuit_id,driver_code,constructor_id,is_sprint_weekend,quali_position,track_n,grid,team,sprint,driver_form,track,champ,teammate,finish_position,status,classified,label,p_a1
2015,2,2015-03-29,sepang,NAS,sauber,0,16,0,0.02351775,0.3255814,0.0,0.44932896,0.5,0.4,0.5,12,+1 Lap,1,0,0.0023778
2015,2,2015-03-29,sepang,BUT,mclaren,0,17,3,0.01831564,0.0,0.0,0.13533528,0.22446232,0.0,0.5,17,Turbo,0,0,0.00060406
2015,2,2015-03-29,sepang,ALO,mclaren,0,18,3,0.01426423,0.0,0.0,0.5,0.58125743,0.0,0.5,18,ERS,0,0,0.00117071
2015,2,2015-03-29,sepang,MER,manor,0,19,0,0.011109,0.0,0.0,0.5,0.5,0.0,0.5,15,+3 Laps,1,0,0.00108629
2015,3,2015-04-12,shanghai,HAM,mercedes,0,1,3,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1,Finished,1,1,0.70994453
2015,3,2015-04-12,shanghai,ROS,mercedes,0,2,3,0.77880078,1.0,0.0,0.81873075,0.73084815,0.76744186,0.5,2,Finished,1,0,0.18347739
2015,3,2015-04-12,shanghai,VET,ferrari,0,3,3,0.60653066,0.68421053,0.0,0.91839875,0.58643923,0.93023256,0.5,3,Finished,1,0,0.07187628
2015,3,2015-04-12,shanghai,MAS,williams,0,4,3,0.47236655,0.39473684,0.0,0.50402792,0.20155612,0.46511628,0.5,5,Finished,1,0,0.00965803
2015,3,2015-04-12,shanghai,BOT,williams,0,5,2,0.36787944,0.39473684,0.0,0.24705634,0.34501611,0.23255814,0.5,6,Finished,1,0,0.00475683
2015,3,2015-04-12,shanghai,RAI,ferrari,0,6,3,0.2865048,0.68421053,0.0,0.3017553,0.47486857,0.27906977,0.5,4,Finished,1,0,0.00671716
2015,3,2015-04-12,shanghai,RIC,red_bull,0,7,3,0.22313016,0.14473684,0.0,0.29315957,0.43229638,0.20930233,0.5,9,Finished,1,0,0.00220845
2015,3,2015-04-12,shanghai,GRO,lotus_f1,0,8,3,0.17377394,0.0,0.0,0.07441194,0.180265,0.0,0.5,7,Finished,1,0,0.00082584
2015,3,2015-04-12,shanghai,NAS,sauber,0,9,0,0.13533528,0.18421053,0.0,0.30797968,0.5,0.23255814,0.5,8,Finished,1,0,0.00188857
2015,3,2015-04-12,shanghai,ERI,sauber,0,10,1,0.10539922,0.18421053,0.0,0.13558739,0.31091025,0.09302326,0.5,10,+1 Lap,1,0,0.00109131
2015,3,2015-04-12,shanghai,MAL,lotus_f1,0,11,3,0.082085,0.0,0.0,0.0,0.13830956,0.0,0.5,18,Brakes,0,0,0.00053754
2015,3,2015-04-12,shanghai,KVY,red_bull,0,12,1,0.06392786,0.14473684,0.0,0.11100957,0.38061644,0.04651163,0.5,19,Power Unit,0,0,0.00088508
2015,3,2015-04-12,shanghai,VER,toro_rosso,0,13,0,0.04978707,0.15789474,0.0,0.16560682,0.5,0.13953488,0.5,17,Transmission,0,0,0.00107784
2015,3,2015-04-12,shanghai,SAI,toro_rosso,0,14,0,0.03877421,0.15789474,0.0,0.24659696,0.5,0.13953488,0.5,13,+1 Lap,1,0,0.00113281
2015,3,2015-04-12,shanghai,PER,force_india,0,15,3,0.03019738,0.09210526,0.0,0.14076676,0.20189652,0.02325581,0.5,11,+1 Lap,1,0,0.00064227
2015,3,2015-04-12,shanghai,HUL,force_india,0,16,3,0.02351775,0.09210526,0.0,0.20644496,0.28485826,0.13953488,0.5,20,Gearbox,0,0,0.00078836
2015,3,2015-04-12,shanghai,BUT,mclaren,0,17,3,0.01831564,0.0,0.0,0.07441194,0.47619072,0.0,0.5,14,+1 Lap,1,0,0.00061029
2015,3,2015-04-12,shanghai,ALO,mclaren,0,18,3,0.01426423,0.0,0.0,0.0,0.81538534,0.0,0.5,12,+1 Lap,1,0,0.00072521
2015,3,2015-04-12,shanghai,STE,manor,0,19,0,0.011109,0.0,0.0,0.0,0.5,0.0,0.5,15,+2 Laps,1,0,0.00055964
2015,3,2015-04-12,shanghai,MER,manor,0,20,0,0.0086517,0.0,0.0,0.06687088,0.5,0.0,0.5,16,+2 Laps,1,0,0.00059658
2015,4,2015-04-19,bahrain,HAM,mercedes,0,1,3,1.0,1.0,0.0,1.0,0.91705314,1.0,1.0,1,Finished,1,1,0.76263142
